Date,Price
9/1/1990,100.4577362
10/1/1990,100.7628687
11/1/1990,100.9453853
12/1/1990,101.1339766
15/01/1990,101.6215304
16/01/1990,101.1287124
17/01/1990,100.6379304
18/01/1990,101.1124138
19/01/1990,101.3342192
22/01/1990,101.2557526
23/01/1990,101.4379791
24/01/1990,101.6491346
25/01/1990,101.1454954
26/01/1990,101.2446378
29/01/1990,101.0405322
30/01/1990,110.9257881
31/01/1990,100.6396907
1/2/1990,100.8685891
2/2/1990,100.7579675
5/2/1990,100.8531271
6/2/1990,100.5631516
7/2/1990,100.4744145
8/2/1990,100.2878486
9/2/1990,100.3306047
12/2/1990,99.90273603
13/02/1990,100.111244
14/02/1990,99.86363226
15/02/1990,99.83900433
16/02/1990,99.38600244
19/02/1990,99.37593768
20/02/1990,99.35514459
21/02/1990,99.40815295
22/02/1990,99.30921622
23/02/1990,99.78140469
26/02/1990,99.43695507
27/02/1990,99.00831052
28/02/1990,98.71065602
1/3/1990,98.44191042
2/3/1990,98.49272267
5/3/1990,98.56765229
6/3/1990,98.43877201
7/3/1990,98.42837819
8/3/1990,98.79203533
9/3/1990,98.75705642
12/3/1990,98.82914177
13/03/1990,98.94860955
14/03/1990,99.20485007
15/03/1990,99.60483754
16/03/1990,99.94258489
19/03/1990,100.2229908
20/03/1990,100.2009311
21/03/1990,100.5036869
22/03/1990,100.52921
23/03/1990,100.6641268
26/03/1990,100.8877139
27/03/1990,100.4307846
28/03/1990,100.0277141
29/03/1990,100.2245935
30/03/1990,100.2569622
2/4/1990,100.1335796
3/4/1990,100.08561
4/4/1990,99.76591296
5/4/1990,99.94852436
6/4/1990,99.86618169
9/4/1990,100.3146542
10/4/1990,99.8224265
11/4/1990,99.63402751
12/4/1990,99.17429235
13/04/1990,99.02891789
16/04/1990,99.27929627
17/04/1990,99.45600668
18/04/1990,99.87636393
19/04/1990,100.2941525
20/04/1990,100.0088171
23/04/1990,100.2151909
24/04/1990,100.1620551
25/04/1990,100.4468637
26/04/1990,100.2996817
27/04/1990,100.6121039
30/04/1990,100.8368146
1/5/1990,100.9462995
2/5/1990,100.9801209
3/5/1990,100.503911
4/5/1990,100.1704633
7/5/1990,100.5872624
8/5/1990,100.3197819
9/5/1990,100.5832545
10/5/1990,100.8594282
11/5/1990,101.0069936
14/05/1990,101.2192731
15/05/1990,101.6515889
